Gn,Mean-copy-number,mean,std
SERPINA11,7.201,7.201,
FBXL3,14.37,14.37,
PHLDB1,12.435,12.435,0.0
BOLA1,23.818,23.818,
TMOD4,10.116,10.116,0.0
RPS27L,294.187,294.187,
CACNA1B,2.081,2.081,0.0
KIR2DL2,2.786,2.786,
MAP4K4,27.874,27.874,0.0
ACADM,343.831,343.83099999999996,0.0
FRG1,314.619,314.619,0.0
GON7,93.073,93.073,0.0
PNLIP,219.358,219.358,
GOSR2,31.191,31.191,0.0
MYBPH,9.172,9.172,0.0
EHBP1,20.3,20.3,0.0
CYTH1,22.035,22.035,0.0
DMRTC2,3.939,3.939,0.0
KIF20A,27.867,27.867,0.0
FAM167A,11.645,11.645,0.0
CCDC13,5.93,5.93,
NKX2-8,7.831,7.831,
RNF225,16.537,16.537,
PPY,30.497,30.497,0.0
SNX3,381.659,381.659,
RBMY1B,4.532,4.532,
PYGO2,19.915,19.915,0.0
UBE4A,68.816,68.816,0.0
GSTM1,193.407,193.407,0.0
WFDC9,0.009,0.009,
TMEM262,75.98,75.98,0.0
OR1J4,33.091,33.091,
XRCC3,38.406,38.406,0.0
C7orf61,11.374,11.374,0.0
TRIML2,48.322,48.322,0.0
ZC3H3,13.619,13.619,0.0
NPEPPS,243.439,243.439,0.0
ZFHX4,13.82,13.819999999999997,0.0
ZNF334,2.056,2.056,0.0
ZNF561,1.856,1.856,0.0
FLACC1,2.595,2.595,0.0
GDF15,20.664,20.664,0.0
PGM2,160.146,160.146,0.0
SCARF2,5.04,5.04,
HTN1,49.412,49.412,
ANKRD34C,4.672,4.672,
OR7C1,0.992,0.992,
KCNK3,8.517,8.517,0.0
STING1,54.492,54.492,0.0
AVL9,43.908,43.908,0.0
PARG,34.41,34.41,
CIITA,1.976,1.9759999999999998,0.0
TMEM60,3.289,3.289,
APOOL,90.499,90.499,0.0
CNFN,2049.647,2049.647,
PRKRA,84.91,84.91,0.0
SETD5,8.124,8.124,0.0
TEAD4,15.894,15.894,0.0
ECE1,39.397,39.397,0.0
RGS11,3.581,3.581,
GRXCR2,7.654,7.654,
OLFML2B,2.976,2.976,0.0
GUF1,23.308,23.308,
ZBTB40,17.383,17.383,0.0
ARHGAP21,16.802,16.802,0.0
SCN1B,9.387,9.387,
HLA-DMA,38.721,38.721,0.0
CYRIB,198.654,198.654,0.0
MRPL54,50.56,50.56,0.0
ADCY7,10.562,10.562,0.0
ZNF23,0.658,0.658,0.0
INPP5B,16.914,16.914,0.0
ANKRD36BP1,4.379,4.379,
ZNF224,0.752,0.752,0.0
ILF3,303.684,303.6840000000001,0.0
CORO1A,520.939,520.939,0.0
MFGE8,134.062,134.062,0.0
GREB1,17.483,17.483,0.0
MLIP,61.271,61.270999999999994,0.0
IGFN1,3.434,3.434,
PRPF18,28.116,28.116,
RBM47,87.117,87.11699999999999,0.0
TMEM44,7.02,7.019999999999999,0.0
CAPN2,243.877,243.877,0.0
CEND1,101.224,101.224,
ARHGAP11A,7.925,7.925,
CTNS,10.459,10.459000000000001,0.0
TSPY3,5.849,5.849,
SLC22A16,1.365,1.365,0.0
ZNF251,2.301,2.301,0.0
NAP1L6P,0.773,0.773,
MPV17,53.508,53.507999999999996,0.0
FPGT-TNNI3K,8.966,8.966,
SPOCK1,26.538,26.538,0.0
SMIM40,14.994,14.994,
NCKAP1,80.072,80.072,
KLRC2,2.161,2.161,
MIEN1,41.807,41.807,
NPAP1,2.239,2.239,
CYP17A1,429.165,429.165,
ADCK5,9.119,9.119,0.0
CASP4,21.022,21.022,0.0
PARM1,31.26,31.26,0.0
CALU,292.058,292.058,0.0
PANK1,14.186,14.186,
TRIM23,11.431,11.431,0.0
ZNF32,2.971,2.971,
STON1-GTF2A1L,3.93,3.93,
PRKG2,2.127,2.127,0.0
MICAL3,19.049,19.049,0.0
DDX51,37.903,37.903,
CACNG5,2.622,2.622,
GNPDA1,169.459,169.459,0.0
TGIF2-C20orf24,10.62,10.62,
TRMT9B,2.015,2.015,0.0
CXorf56,47.902,47.902,
KAT2A,12.482,12.482,0.0
MGST1,615.926,615.926,0.0
REN,7.961,7.961,
SERPINB3,237.919,237.919,
COA8,9.109,9.109,0.0
ZNF557,7.425,7.425,
BCL7C,36.305,36.305,0.0
POMGNT1,23.057,23.057,0.0
ADAMTS8,6.76,6.76,
TTC9,23.346,23.346,
NCR2,2.034,2.034,
TFAM,188.337,188.337,0.0
NLRP11,2.786,2.786,0.0
TAOK3,31.889,31.889000000000006,0.0
HOXB3,231.844,231.84399999999997,0.0
CYB561A3,42.004,42.004000000000005,0.0
KANSL1,12.681,12.681,0.0
MASP2,176.073,176.073,
TOMM20L,7.964,7.964,0.0
ARL2BP,52.29,52.29,0.0
STK36,5.256,5.256,0.0
ZNF559-ZNF177,1.359,1.359,0.0
DIMT1,49.719,49.719,0.0
SLC14A1,40.923,40.923,0.0
HAS3,1.098,1.098,0.0
LINC01587,12.142,12.142,
LRP12,1.603,1.603,0.0
CNOT7,34.629,34.629,0.0
ATP4A,25.232,25.232,0.0
KRT80,93.051,93.051,
CTSA,104.824,104.82399999999998,0.0
CWC27,42.338,42.338,0.0
LYPLAL1,106.058,106.058,
MAIP1,40.49,40.49,0.0
GPRC5D,2.538,2.538,0.0
PGGHG,10.513,10.513,0.0
STOM,360.962,360.962,0.0
LMO7DN,0.015,0.015,
MAN2B1,22.711,22.711,
KCNC2,4.57,4.57,
NBPF6,1.184,1.184,
ST6GALNAC5,6.779,6.779,0.0
COMMD3,70.849,70.849,0.0
TMEM217,7.26,7.26,
FAM102A,13.423,13.423,
ZNF300,4.023,4.023,0.0
ALKBH4,29.402,29.402,
DDX52,42.471,42.471,0.0
LHFPL2,55.428,55.428,
SV2C,3.28,3.28,0.0
SPRED3,14.142,14.142000000000001,0.0
C11orf80,4.275,4.2749999999999995,0.0
PEF1,139.877,139.877,
TRIP4,27.77,27.77,0.0
DCDC2C,1.889,1.889,
MCRIP1,82.459,82.459,0.0
PSEN2,7.928,7.928,0.0
PRAMEF8,5.495,5.495,
RASSF3,15.521,15.521,
CDYL2,21.694,21.694,0.0
MEGF10,3.765,3.765,
DLG1,54.665,54.665000000000006,0.0
VRK1,84.707,84.707,0.0
TBC1D3H,1.419,1.419,
ZNF524,10.453,10.453,0.0
SSPN,52.789,52.78900000000001,0.0
CACNA2D1,43.458,43.458,0.0
UTF1,9.065,9.065,
MARCHF10,0.902,0.902,0.0
ENO4,5.583,5.583,
STK11IP,29.873,29.873,0.0
GABPA,37.01,37.01,
INTS4,31.004,31.004,0.0
TC2N,13.06,13.06,
TSLP,3.948,3.948,0.0
VPS13D,11.253,11.253,0.0
NOTCH2,4.322,4.322,0.0
TMSB15B,96.085,96.085,
WDFY3,12.345,12.345,0.0
TPD52L1,105.548,105.548,0.0
SLC4A11,3.528,3.528,0.0
TXNRD3,8.939,8.939,0.0
AVP,13.204,13.204,
ZNF276,14.201,14.200999999999999,0.0
CDCA8,52.61,52.61,
COQ4,1.765,1.765,0.0
PASK,21.849,21.849,0.0
ARMT1,78.538,78.538,0.0
SMS,138.83,138.83,0.0
ZNF76,3.15,3.15,0.0
TCF7L2,5.8,5.8,0.0
NLRC4,4.726,4.726,
KHDRBS3,28.552,28.551999999999996,0.0
CPNE9,6.893,6.893,0.0
KLK1,364.738,364.738,
ZNF512,53.855,53.855,0.0
CCDC63,2.179,2.179,0.0
TTC24,2.79,2.79,
UBE3D,7.296,7.296000000000001,0.0
SNAPC5,21.031,21.031,0.0
FRMD3,4.485,4.485,0.0
CCDC171,2.209,2.209,0.0
CPNE7,4.176,4.176,0.0
DNAJC30,11.27,11.27,
OR1E2,4.087,4.087,
SCML1,15.265,15.265,
RNASE11,8.922,8.922,0.0
LPP,440.164,440.1639999999998,0.0
ACE,15.717,15.717,0.0
HNRNPUL2-BSCL2,98.968,98.968,
MCM3,221.27,221.27,0.0
PAPOLA,32.638,32.638,0.0
POFUT2,30.605,30.605,0.0
RPL17,412.821,412.821,0.0
CARS2,32.485,32.48500000000001,0.0
CTR9,33.219,33.219,
ZNF658B,7.573,7.573,
CSF1,27.384,27.384,0.0
GUK1,95.435,95.435,0.0
HNRNPLL,43.791,43.791,0.0
PCDHB13,0.912,0.912,
PYCARD,129.05,129.05,0.0
RAD51AP2,5.222,5.222,
B3GNT6,12.56,12.56,0.0
ZNF852,0.598,0.598,
MAGI1,13.534,13.534,0.0
VPS28,51.742,51.742,0.0
SKP1,340.728,340.728,0.0
KCNS3,4.091,4.091,0.0
VWA5B2,8.493,8.493,0.0
HNRNPA1,978.819,978.819,0.0
TLCD3B,26.776,26.776,
PI15,5.666,5.666,
GABRQ,2.779,2.779,
B3GALT2,2.028,2.028,
IL22RA2,0.855,0.855,
KLK6,140.076,140.076,
CHMP3,38.397,38.397,
RGR,128.699,128.699,
DDB2,30.668,30.668000000000003,0.0
CD300E,9.864,9.864,0.0
ACP1,296.998,296.998,0.0
PALM3,21.987,21.987,0.0
ARX,15.656,15.656,
TSHB,0.024,0.024,
ING4,15.472,15.472,0.0
GPC5,11.62,11.62,0.0
FAR2,3.19,3.19,0.0
RHOD,11.546,11.546,0.0
PDGFRL,8.022,8.022,
TXLNA,56.964,56.964,
CFAP65,3.393,3.393,0.0
P2RY4,3.289,3.289,
AAMP,54.909,54.909000000000006,0.0
SLC23A3,0.468,0.468,0.0
SLC16A5,5.91,5.91,0.0
TRAF1,25.306,25.306,
ZCCHC10,34.1,34.1,0.0
PXMP4,34.867,34.867,0.0
VDR,4.392,4.392,0.0
AADAC,132.585,132.585,0.0
DRG1,3.339,3.339,
PPP4R3A,32.733,32.733,0.0
HLA-DRB5,111.824,111.824,
MSX1,5.465,5.465,
PSMD4,178.393,178.393,0.0
ZNF90,3.177,3.177,0.0
RNASE3,111.351,111.351,
C8orf17,9.062,9.062,
NDUFC2-KCTD14,109.671,109.671,
POU2F3,6.597,6.597,0.0
KRT6A,622.944,622.944,
ZSCAN21,2.148,2.148,0.0
MCF2L2,1.869,1.869,0.0
PKP3,60.837,60.836999999999996,0.0
H2AC20,505.57,505.57,
IKZF3,21.656,21.656,
OR2T5,9.125,9.125,
SQSTM1,76.598,76.598,0.0
CALD1,1279.587,1279.5869999999998,0.0
GAN,27.077,27.077,
OR10T2,19.304,19.304,
MAN2B2,21.331,21.331,0.0
FUS,434.726,434.72599999999994,0.0
CPLANE2,10.613,10.613,0.0
DNAJC9-AS1,0.001,0.001,
KLHDC8B,12.195,12.195,
RHOT2,40.483,40.483,0.0
SERINC2,20.989,20.989,
TNFSF9,16.47,16.47,
COG3,68.506,68.506,
KLHL15,6.638,6.638,
NCOA2,20.565,20.565,0.0
S100A7A,168.646,168.646,
FBXL17,6.723,6.723,
C10orf113,2.341,2.341,
COL11A1,3.42,3.42,0.0
FOXG1,10.796,10.796,
DTD1,96.366,96.366,
MRPL19,79.233,79.233,0.0
RAB24,41.543,41.543,0.0
ANKS4B,9.512,9.512,
RPS6KA1,35.477,35.477,0.0
SLC26A7,5.919,5.919,0.0
MAN2B1,27.948,27.947999999999997,0.0
HBM,78.574,78.574,
ZNF606,0.795,0.795,0.0
MAGI3,15.311,15.311,
ZNF589,662.315,662.315,0.0
SLC43A3,21.54,21.54,0.0
LSR,32.106,32.106,0.0
PCNX3,22.218,22.218,
CLDN19,10.737,10.737,
AACS,72.754,72.754,0.0
PDS5B,49.598,49.598,0.0
CUL9,5.498,5.498,0.0
PRCD,6.053,6.053,
SPIB,9.036,9.036,0.0
ENOSF1,32.633,32.633,0.0
HBG1,1304.893,1304.893,
HACL1,36.002,36.002,0.0
OOEP,0.004,0.004,0.0
RASA3,35.369,35.369,
HS3ST6,3.086,3.086,
KRTAP4-16,0.988,0.988,
P2RY13,17.727,17.727,
DCUN1D2,7.488,7.488,0.0
KLRC4,1.192,1.192,
UBE2T,61.348,61.348,
VIM,4102.482,4102.482,0.0
HINT3,67.206,67.206,
RS1,252.065,252.065,
CEP78,19.911,19.911,0.0
VASH1,9.895,9.895,
AP2B1,168.69,168.69000000000003,0.0
AURKAIP1,9.394,9.394,
POLR2F,58.071,58.07100000000001,0.0
MSH5,1.694,1.694,
ATP9A,22.382,22.382,0.0
LZTR1,11.037,11.037,0.0
PSAPL1,18.833,18.833,
CDH22,4.186,4.186,
TNNC1,379.498,379.498,0.0
MPP3,2.095,2.095,0.0
MT-ATP6,390.279,390.279,
EFCAB8,7.057,7.057,0.0
LGR5,0.785,0.785,
MORC4,9.64,9.64,0.0
TAC1,16.235,16.235,
ABCA6,8.944,8.944,
FAM74A1,3.114,3.114,
GLO1,645.765,645.765,
ALPK1,1.333,1.333,0.0
NT5E,83.279,83.279,0.0
SLC35G1,5.271,5.271,0.0
LPIN2,17.659,17.659,0.0
IMPA2,44.929,44.929,0.0
CCDC184,19.972,19.972,
REPIN1,16.036,16.036,0.0
MEPE,5.012,5.012,0.0
CD300LB,1.807,1.807,0.0
FAM78B,10.38,10.38,0.0
GJB1,20.901,20.901,0.0
MRPL39,46.217,46.217,0.0
CYP2F1,1.11,1.11,0.0
RPL10,400.249,400.249,
MYBL1,5.101,5.101,0.0
CDS1,13.193,13.193,
PHGDH,372.861,372.861,
SCUBE1,6.136,6.136,0.0
SLC25A1,154.666,154.666,0.0
MRGPRX4,3.797,3.797,
SYT16,6.082,6.082,
ZNF727,3.142,3.142,
DEFB124,0.096,0.096,
CCDC93,43.695,43.695,0.0
UGT2B28,10.022,10.022,
ZNF182,7.099,7.099,
EEF1AKMT2,37.323,37.323,
RIPOR3,3.075,3.075,
USP35,12.855,12.855,0.0
TADA1,25.793,25.793,
LGMN,65.362,65.36199999999998,0.0
SCUBE2,4.405,4.405,0.0
TMEM38A,16.849,16.849,0.0
H2BC13,750.959,750.959,
TBK1,36.008,36.008,0.0
ATP2A3,132.319,132.319,0.0
DNAJC24,15.579,15.579,0.0
SORT1,30.48,30.48,
AIF1,183.233,183.233,0.0
SLC7A6,30.21,30.21,0.0
PXT1,12.9,12.9,0.0
TNNC2,40.847,40.847,0.0
C12orf71,3.457,3.457,
CGN,35.307,35.307,0.0
AQP4,691.864,691.864,
LRP5,5.058,5.058,0.0
SMPD4,30.068,30.068,0.0
CNR2,11.813,11.813,
SLC16A6,3.487,3.487,0.0
DRD5,3.882,3.882,
CST6,241.721,241.721,
ST8SIA6,1.62,1.62,0.0
OLIG2,9.358,9.358,0.0
EIF3F,234.831,234.831,0.0
FRMD4B,3.556,3.5560000000000005,0.0
HDGF,387.261,387.261,
KATNAL1,16.553,16.553,0.0
MORC3,26.14,26.14,0.0
NBPF12,0.691,0.691,
OR13C8,23.535,23.535,
PRKAR1A,191.381,191.38100000000003,0.0
PSENEN,18.604,18.604,
PSG9,34.501,34.501,0.0
RAB3B,37.193,37.193,
APOC4,290.361,290.361,0.0
ZNF217,23.438,23.438,0.0
MCM6,144.873,144.873,
OR8K3,18.151,18.151,
OLA1,267.122,267.122,0.0
CHRM3,7.944,7.944,0.0
NECTIN3,22.338,22.338000000000005,0.0
LCP1,399.136,399.136,0.0
SLC22A10,1.81,1.81,0.0
FAM153A,2.162,2.162,
GOLT1A,1.591,1.591,
NT5C1B,3.722,3.722,
PFN1,2710.427,2710.427,0.0
RRP1,56.35,56.35,0.0
DUS2,19.115,19.115000000000002,0.0
FPR1,23.576,23.576000000000004,0.0
DTX4,3.167,3.167,
GPR171,1.761,1.761,0.0
DRP2,3.399,3.399,0.0
ACVR1B,30.106,30.106,
VGLL3,6.426,6.426,
PTX3,22.063,22.063,
ZNF331,34.692,34.692,0.0
C8orf49,0.389,0.389,
ACSF2,93.827,93.827,0.0
GALR1,0.015,0.015,
PHLDB3,11.974,11.974,0.0
TUBA1B,1054.575,1054.575,0.0
FAM157C,12.509,12.509,
ABCF3,43.164,43.164,0.0
ACTG2,1851.262,1851.262,0.0
CCDC62,4.632,4.632,0.0
MIER1,37.288,37.288,
CDC20,41.314,41.314,
KRT82,51.967,51.967,
LRRC10B,1.242,1.242,
MACF1,107.666,107.66599999999997,0.0
WDR92,36.608,36.608,0.0
IL7R,3.978,3.978,0.0
SALL3,5.2,5.2,0.0
BRI3BP,83.053,83.053,
CRYGN,0.473,0.473,
TNPO3,39.32,39.32,0.0
RORC,4.416,4.416,
PTPN9,20.715,20.715,0.0
TMEM59,14.943,14.943000000000001,0.0
ZFP82,2.583,2.583,
ALKBH1,42.81,42.81,0.0
FKBP2,232.244,232.244,0.0
VSX1,3.534,3.534,
ZACN,14.666,14.666,
FHL2,216.167,216.167,0.0
PRPF39,25.484,25.483999999999998,0.0
H2BC5,795.245,795.245,
SNU13,328.638,328.638,0.0
ZMYM6,2.481,2.481,0.0
AKAP11,13.241,13.241,
CISD2,138.036,138.036,0.0
PCMT1,454.316,454.3159999999999,0.0
PRKCE,8.699,8.699,0.0
TJP1,58.97,58.970000000000006,0.0
TSN,218.89,218.89,0.0
GGT3P,21.298,21.298,
ATM,27.156,27.156000000000002,0.0
CCDC153,12.827,12.827,
INPP5E,3.297,3.297,
DEFB129,4.078,4.078,
EXOC3-AS1,28.381,28.381,
C19orf81,8.718,8.718,0.0
ZP3,5.166,5.166,0.0
COMMD2,55.251,55.251,0.0
SPATA4,2.685,2.685,0.0
NRXN2,3.037,3.0370000000000004,0.0
PRB2,409.118,409.118,
TFB1M,55.728,55.728,
FGF4,7.816,7.816,
SSTR5,120.638,120.638,
UQCR10,295.271,295.271,
COL27A1,5.388,5.388,
PLIN2,138.849,138.849,0.0
SUFU,30.998,30.998,
TRAPPC13,26.13,26.13,0.0
RBCK1,21.22,21.22,0.0
C2orf16,1.526,1.526,
NT5C3B,16.595,16.595,0.0
ANKRD26,4.992,4.992,0.0
CAPN12,1.994,1.9940000000000002,0.0
TP53INP1,1.196,1.196,
PMS2P3,28.8,28.8,
NAXD,96.706,96.706,
RBPJL,2.599,2.599,0.0
ZNF141,1.941,1.941,0.0
GALNT17,3.876,3.876,0.0
TNIP3,5.931,5.931,0.0
MYO1B,60.716,60.716,0.0
SNAI3,16.974,16.974,
AP3S1,114.458,114.458,0.0
KRT84,34.227,34.227,
CRYAA2,2657.105,2657.105,
TANC1,19.417,19.417,
CHURC1-FNTB,68.105,68.105,0.0
CDV3,251.571,251.57099999999997,0.0
MROH6,4.054,4.054,0.0
ZNF75D,1.611,1.611,
GMEB2,31.655,31.655,0.0
RADIL,2.295,2.295,0.0
CCNI2,2.23,2.23,
PRDM6,11.597,11.597,0.0
C12orf45,91.661,91.661,0.0
FAM184B,1.363,1.363,
ANKRD34A,6.074,6.074000000000001,0.0
CCDC60,3.723,3.7230000000000003,0.0
SLC25A26,8.665,8.665,0.0
CGA,27.366,27.366,
SLC8A3,3.381,3.381,0.0
SFTA2,0.567,0.567,
PSMA1,263.627,263.627,0.0
PDE6A,19.784,19.784,0.0
PLA2R1,7.387,7.387,
TXNL1,278.096,278.096,0.0
APAF1,18.375,18.375,0.0
PRAMEF6,1.288,1.288,
GPR153,2.571,2.571,
KIF13A,16.564,16.564,0.0
APOBR,29.216,29.216,
TMEM169,12.453,12.452999999999998,0.0
MYPN,13.9,13.9,0.0
PLD6,15.304,15.304,
PLAGL1,2.504,2.504,0.0
EIF3L,193.693,193.693,0.0
FBXO16,1.778,1.778,0.0
KRT75,221.458,221.458,
EPO,23.164,23.164,
FSD2,4.099,4.099,0.0
GNRHR2,0.0,0.0,
RWDD3,3.231,3.231,
CEMIP2,19.977,19.977,0.0
MEIOC,2.454,2.454,0.0
C1orf127,4.537,4.537,0.0
KRTAP9-3,1783.92,1783.92,
KRTAP6-2,109.1,109.1,
FXN,53.242,53.242,0.0
LRRC14,29.129,29.129,0.0
OR2M3,9.707,9.707,
CNOT10,30.991,30.991,0.0
DEFA1B,176.567,176.567,
GPR42,2.604,2.604,
ANO7,3.397,3.397,0.0
ARPC1B,273.472,273.472,0.0
PARD6A,30.113,30.113,
SHARPIN,18.129,18.129,0.0
HOXD3,7.834,7.834,0.0
FILIP1L,14.176,14.176,0.0
CIAPIN1,70.503,70.503,0.0
CCDC113,2.683,2.683,0.0
CENPH,36.279,36.279,0.0
BMT2,17.752,17.752,
ZNF684,4.976,4.976,0.0
ATP13A2,8.268,8.268,0.0
LDLRAD4,24.948,24.948,0.0
LRRC46,4.034,4.034,0.0
MAN2A1,39.835,39.835,
CNPY2,112.9,112.9,0.0
PXK,39.077,39.077,0.0
BRWD3,6.866,6.866,
ANKRD20A1,0.905,0.905,
USP41,4.509,4.509,0.0
ECHDC3,109.017,109.017,0.0
ANO3,2.386,2.386,0.0
SLC30A10,9.686,9.686,
MNDA,116.929,116.929,
TRNT1,53.923,53.923,0.0
ZNF75A,0.136,0.136,
OR13C3,1.734,1.734,
GTSF1L,17.91,17.91,
GOLGA5,26.245,26.245,0.0
PELP1,49.379,49.379,0.0
DAZ1,1.593,1.593,
PPFIA3,12.196,12.196,0.0
HAGHL,9.021,9.021,0.0
GGA1,31.627,31.627000000000002,0.0
CEP192,10.871,10.870999999999997,0.0
FAM183BP,1.319,1.319,
JAKMIP1,13.592,13.592,0.0
BCL2L12,23.15,23.150000000000002,0.0
CYBA,200.603,200.60299999999998,0.0
LIME1,14.495,14.495,0.0
ATP5F1C,383.653,383.653,
C12orf65,5.008,5.008,0.0
LUM,1369.355,1369.355,
RRAS,226.68,226.68,
DARS2,62.499,62.499,
NDRG1,305.186,305.18600000000004,0.0
DECR2,46.592,46.592,0.0
FCGR1B,10.258,10.258,0.0
OR4E2,1.805,1.805,
USP17L20,0.251,0.251,0.0
FMNL3,10.224,10.224,0.0
CCT7,343.066,343.066,0.0
HOXB6,6.306,6.306,
IL4R,4.222,4.222,0.0
HEXD,5.273,5.272999999999999,0.0
PDHB,287.424,287.424,0.0
CAPS2,3.628,3.628,0.0
PREP,115.446,115.446,0.0
KCNQ1,9.199,9.199,0.0
LARS1,159.043,159.043,0.0
PAGE2,30.418,30.418,0.0
NGFR,30.763,30.763,
PLEKHM2,19.916,19.916,0.0
GMCL1,4.344,4.344,
GPR89A,6.11,6.11,
DNAJC4,17.221,17.221,0.0
MFHAS1,3.58,3.58,
TMEM80,7.976,7.976,0.0
IMPA1,120.406,120.40599999999998,0.0
BTBD19,7.012,7.012,
TRMT61B,29.941,29.941,0.0
PIGA,32.556,32.556,0.0
MS4A15,0.13,0.13,0.0
ATF2,19.239,19.239,0.0
RTL10,3.954,3.954,0.0
ZNF281,30.249,30.249,
PLCG1,40.579,40.579,0.0
MNX1,33.779,33.779,0.0
BCAT2,116.963,116.96299999999998,0.0
BDKRB1,6.623,6.623,0.0
PCDHGB6,3.498,3.498,
REEP4,44.774,44.774,0.0
ZFP92,8.551,8.551,
CYP4A22,38.151,38.151,0.0
SIRT6,26.708,26.708,0.0
ACP4,0.195,0.195,
SEPTIN1,41.981,41.981,0.0
BIK,0.038,0.038,
PTPRS,17.754,17.754,0.0
CSF2RB,11.17,11.17,0.0
CAPN15,14.423,14.423,0.0
POU4F3,8.489,8.489,
RAB29,33.961,33.961,0.0
BPGM,131.5,131.5,0.0
HSPA13,27.711,27.711,
WIPF3,28.07,28.07,0.0
CAPZA1,481.054,481.054,
FGD2,9.152,9.152,0.0
TRPV5,5.121,5.121,0.0
IL22RA1,1.652,1.652,
RNF215,0.002,0.002,0.0
TANGO6,20.362,20.362,0.0
ZEB1,13.409,13.409,0.0
LINC01600,5.941,5.941,
OR10AD1,1.954,1.954,
PAQR3,6.853,6.852999999999999,0.0
TFG,144.066,144.066,0.0
IFNLR1,3.363,3.363,0.0
ODF3L1,6.431,6.431,
TLR3,6.463,6.463,
ACADVL,305.974,305.974,0.0
RIMS3,9.899,9.899,
SPC24,63.228,63.228,0.0
TBCK,12.458,12.458,0.0
ZNF491,2.26,2.26,0.0
BLOC1S4,28.385,28.385,
MAPRE3,89.614,89.614,0.0
SLIRP,236.067,236.067,0.0
LRRC23,2.528,2.528,0.0
DZIP3,4.883,4.883,0.0
RABEP2,28.127,28.127000000000002,0.0
FOXC1,11.192,11.192,
VKORC1,66.238,66.238,0.0
MTERF1,15.708,15.708000000000002,0.0
SOX3,33.935,33.935,
TMPPE,37.339,37.339,
ATP6V1B1,34.168,34.168,0.0
ATP6V0C,312.437,312.437,0.0
PRH1,1262.345,1262.345,0.0
MSH3,21.237,21.237,
PSG1,19.11,19.11,0.0
DAAM2,4.437,4.437,0.0
SPANXN4,22.05,22.05,0.0
TMEM250,0.029,0.029,0.0
ZIC1,6.377,6.377,0.0
C1QA,105.938,105.938,0.0
ZNF714,1.249,1.2490000000000003,0.0
ZNF330,19.553,19.553,0.0
EIF4ENIF1,29.844,29.844,0.0
FANCM,2.757,2.757,0.0
SPATA31A1,0.611,0.611,
CDC42,503.31,503.31,0.0
ENC1,3.681,3.681,0.0
NT5C1A,9.567,9.567,
PXDC1,20.247,20.247,0.0
SIGLEC5,3.09,3.09,
CNIH1,46.397,46.397,0.0
KIAA0087,0.587,0.587,
CATSPER2,5.076,5.076,0.0
AKTIP,30.474,30.474,0.0
SRGAP3,11.139,11.139,0.0
RLIM,4.575,4.575,
DMKN,80.145,80.145,0.0
PPP1R12C,44.168,44.168,0.0
DCDC1,3.497,3.497,
COX20,72.098,72.098,
RPL36A-HNRNPH2,52.872,52.872,
TGM7,6.803,6.803,
CASP7,59.879,59.879,0.0
MTFR1L,31.177,31.176999999999996,0.0
GNL3,61.489,61.489,0.0
MRPS24,54.433,54.433,
VCP,797.463,797.4630000000001,0.0
NOVA1,9.498,9.498,0.0
PAQR5,9.452,9.452,0.0
TRPC4,3.494,3.494,0.0
C11orf40,4.261,4.261,
FUT11,11.589,11.589,
TROAP,3.494,3.494,0.0
DDX24,49.275,49.275,0.0
ANAPC15,63.84,63.84000000000001,0.0
TSKU,18.883,18.883,0.0
SPATA31A6,1.037,1.037,
LRRC32,7.054,7.054,0.0
POLR2J3,22.887,22.887,0.0
NOD1,1.704,1.704,0.0
GBGT1,2.437,2.437,0.0
ARMCX2,14.539,14.538999999999998,0.0
PLEKHA8,11.527,11.527,0.0
BARHL2,15.778,15.778,
DNAJC19,64.698,64.698,0.0
KIFC3,6.363,6.363,0.0
CCDC148,2.503,2.503,0.0
KRTAP13-2,9.273,9.273,
C1QL1,7.023,7.023,
TEC,7.92,7.919999999999999,0.0
DOT1L,14.813,14.812999999999999,0.0
COG7,33.41,33.41,0.0
GPR176,4.361,4.361,
EIF2B5,40.844,40.844,0.0
HCFC1R1,1.821,1.821,0.0
NDUFB5,156.778,156.778,0.0
ADH1A,1428.479,1428.479,
SERPINB7,33.934,33.934,0.0
CD276,39.05,39.050000000000004,0.0
VCX3B,22.903,22.903,
RTL1,3.128,3.128,
MT1G,104.846,104.846,0.0
DDX42,88.095,88.09500000000001,0.0
FCER1G,222.871,222.871,0.0
USP21,1.798,1.798,0.0
DSTN,627.074,627.074,0.0
PLEKHN1,9.259,9.259,
TRIM9,6.835,6.835,
ANKRD36B,1.083,1.083,0.0
CFAP100,4.558,4.558,0.0
RUFY3,32.484,32.484,0.0
CEP152,13.528,13.528,0.0
ARFGAP3,61.842,61.842000000000006,0.0
SLC6A19,54.293,54.293,0.0
THAP4,24.974,24.974,0.0
ZNF33B,7.479,7.479000000000001,0.0
HEMGN,38.085,38.085,
TPGS1,19.248,19.248,
KCNK16,0.0,0.0,0.0
MAGEC1,13.33,13.33,
FAN1,2.133,2.133,0.0
GTF2H3,46.323,46.323,0.0
SDAD1,42.261,42.261,0.0
SLC16A7,18.28,18.28,0.0
ANKRA2,4.718,4.718,
CBY3,3.15,3.15,
NDUFA4L2,174.414,174.414,0.0
PGLYRP4,3.227,3.227,
PRELID1,5.715,5.715,0.0
SENP6,11.089,11.089,0.0
UBR3,16.762,16.762,0.0
RTN4RL2,24.36,24.36,0.0
EZH2,32.13,32.13,0.0
SOX8,2.802,2.802,
